host_epoch,pico_epoch,temp,set_c,drive
1747350535.775,35.0,31.28,35.0,-0.2
1747350540.780,40.0,31.26,35.0,-0.2
1747350545.783,45.0,31.23,35.0,-0.2
1747350550.785,50.0,31.35,35.0,-0.2
1747350555.788,55.0,31.23,35.0,-0.2
1747350560.794,60.0,31.8,35.0,-0.2
1747350565.797,65.0,31.89,35.0,-0.2
