host_epoch,pico_epoch,temp,set_c,drive
1748043160.884,8.0,29.88,41.0,-0.2
1748043165.889,13.0,29.8,41.0,-0.2
1748043170.893,18.0,30.03,41.0,-0.2
1748043175.896,23.0,30.03,41.0,-0.2
1748043180.903,28.0,29.7,41.0,-0.2
1748043185.908,33.0,29.62,41.0,-0.2
1748043190.915,38.0,29.98,41.0,-0.2
1748043195.917,43.0,29.93,41.0,-0.2
1748043200.924,48.0,29.9,41.0,-0.2
1748043205.926,53.0,29.7,41.0,-0.2
1748043210.933,58.0,29.98,41.0,-0.2
1748043215.939,63.0,29.83,41.0,-0.2
1748043220.945,68.0,29.5,41.0,-0.2
1748043225.952,73.0,29.62,41.0,-0.2
1748043230.957,78.0,30.25,41.0,-0.2
1748043235.964,83.0,29.98,41.0,-0.2
1748043240.970,88.0,29.93,41.0,-0.2
1748043245.977,93.0,29.85,41.0,-0.2
1748043250.980,98.0,30.15,41.0,-0.2
1748043255.987,103.0,29.98,41.0,-0.2
1748043260.993,108.0,29.93,41.0,-0.2
1748043266.000,113.0,30.18,41.0,-0.2
1748043271.002,118.0,30.45,41.0,-0.2
1748043276.008,123.0,30.13,41.0,-0.2
1748043281.013,128.0,30.18,41.0,-0.2
1748043286.020,133.0,30.51,41.0,-0.2
1748043291.027,138.0,30.83,41.0,-0.2
1748043296.031,143.0,30.48,41.0,-0.2
1748043301.036,148.0,30.28,41.0,-0.2
1748043306.039,153.0,30.48,41.0,-0.2
1748043311.046,158.0,30.53,41.0,-0.2
1748043316.050,163.0,30.86,41.0,-0.2
1748043321.057,168.0,30.63,41.0,-0.2
1748043326.060,173.0,30.76,41.0,-0.2
1748043331.065,178.0,30.96,41.0,-0.2
1748043336.071,183.0,31.09,41.0,-0.2
1748043341.078,188.0,30.56,41.0,-0.2
1748043346.084,193.0,30.94,41.0,-0.2
1748043351.091,198.0,31.24,41.0,-0.2
1748043356.097,203.0,30.99,41.0,-0.2
1748043361.104,208.0,30.94,41.0,-0.2
1748043366.109,213.0,31.29,41.0,-0.2
1748043371.113,218.0,31.55,41.0,-0.2
1748043376.119,223.0,31.52,41.0,-0.2
1748043381.124,228.0,31.7,41.0,-0.2
1748043386.127,233.0,31.49,41.0,-0.2
1748043391.133,238.0,31.6,41.0,-0.2
1748043396.136,243.0,32.03,41.0,-0.2
1748043401.139,248.0,31.62,41.0,-0.2
1748043406.144,253.0,31.67,41.0,-0.2
1748043411.148,258.0,32.06,41.0,-0.2
1748043416.155,263.0,31.8,41.0,-0.2
1748043421.158,268.0,31.67,41.0,-0.2
1748043426.161,273.0,31.75,41.0,-0.2
1748043431.168,278.0,32.01,41.0,-0.2
1748043436.175,283.0,32.06,41.0,-0.2
1748043441.178,288.0,31.93,41.0,-0.2
1748043446.185,293.0,32.21,41.0,-0.2
1748043451.187,298.0,32.68,41.0,-0.2
1748043456.194,303.0,32.7,41.0,-0.2
1748043461.200,308.0,32.6,41.0,-0.2
1748043466.204,313.0,32.6,41.0,-0.2
1748043471.209,318.0,32.83,41.0,-0.2
1748043476.215,323.0,32.83,41.0,-0.2
1748043481.217,328.0,32.96,41.0,-0.2
1748043486.224,333.0,32.99,41.0,-0.2
1748043491.230,338.0,33.32,41.0,-0.2
1748043496.237,343.0,32.99,41.0,-0.2
1748043501.240,348.0,33.19,41.0,-0.2
1748043506.245,353.0,33.14,41.0,-0.2
1748043511.249,358.0,33.19,41.0,-0.2
1748043516.251,363.0,33.19,41.0,-0.2
1748043521.257,368.0,33.19,41.0,-0.2
1748043526.259,373.0,33.58,41.0,-0.2
1748043531.264,378.0,33.64,41.0,-0.2
1748043536.266,383.0,33.61,41.0,-0.2
1748043541.278,388.0,33.87,41.0,-0.2
1748043546.287,393.0,33.61,41.0,-0.2
1748043551.300,398.0,33.56,41.0,-0.2
1748043575.774,423.0,34.24,41.0,-0.2
1748043580.777,428.0,34.13,41.0,-0.2
1748043585.783,433.0,33.77,41.0,-0.2
1748043590.789,438.0,34.11,41.0,-0.2
1748043595.793,443.0,33.92,41.0,-0.2
1748043600.796,448.0,34.11,41.0,-0.2
1748043605.802,453.0,33.66,41.0,-0.2
1748043610.806,458.0,34.0,41.0,-0.2
1748043615.811,463.0,34.16,41.0,-0.2
1748043620.817,468.0,34.11,41.0,-0.2
1748043625.824,473.0,33.38,41.0,-0.2
1748043630.827,478.0,33.92,41.0,-0.2
1748043635.834,483.0,34.03,41.0,-0.2
1748043640.840,488.0,33.92,41.0,-0.2
1748043645.847,493.0,33.98,41.0,-0.2
1748043650.850,498.0,33.48,41.0,-0.2
1748043655.853,503.0,34.34,41.0,-0.2
