timestamp,data
21.8,q:0.239:-0.676:-0.240:0.654,a:8.043:6.590:-0.270,la:0.051:-0.020:0.012,g:0.002:0.004:0.127,m:-50.500:-93.125:-85.000,grav:8.406:6.219:-0.273,steps:0,stab:On Table
22.4,q:0.186:-0.693:-0.192:0.670,a:8.504:6.090:-0.270,la:0.035:-0.051:0.004,g:0.012:0.008:0.135,m:-51.625:-94.250:-89.625,grav:8.477:6.133:-0.273,steps:0,stab:On Table
22.9,q:0.184:-0.693:-0.189:0.671,a:9.121:5.402:-0.270,la:0.016:0.035:0.020,g:0.012:0.008:0.123,m:-50.125:-88.250:-85.813,grav:8.984:5.570:-0.266,steps:0,stab:On Table
23.4,q:0.156:-0.700:-0.164:0.677,a:9.609:4.672:-0.305,la:0.113:-0.063:-0.023,g:-0.012:-0.010:0.184,m:-51.250:-88.250:-86.563,grav:9.836:4.219:-0.289,steps:0,stab:On Table
23.9,q:0.134:-0.704:-0.142:0.682,a:9.922:4.098:-0.305,la:0.125:-0.027:0.035,g:0.010:-0.002:0.141,m:-51.625:-83.000:-85.750,grav:9.875:4.125:-0.289,steps:0,stab:On Table
24.5,q:0.101:-0.711:-0.113:0.687,a:10.492:2.680:-0.270,la:0.063:-0.063:0.035,g:-0.004:-0.006:0.152,m:-49.750:-76.688:-83.813,grav:10.500:2.688:-0.281,steps:0,stab:On Table
25.0,q:0.054:-0.715:-0.069:0.694,a:10.770:1.762:-0.305,la:-0.004:-0.066:-0.023,g:0.002:0.004:0.129,m:-49.375:-75.188:-85.000,grav:10.523:2.594:-0.281,steps:0,stab:On Table
25.5,q:0.052:-0.715:-0.067:0.694,a:10.797:1.684:-0.270,la:0.074:-0.223:0.020,g:0.000:0.000:0.127,m:-48.250:-68.813:-81.500,grav:10.750:1.844:-0.289,steps:0,stab:On Table
26.1,q:0.019:-0.717:-0.037:0.696,a:10.914:1.035:-0.270,la:0.012:0.105:0.043,g:-0.027:0.006:0.098,m:-48.250:-68.438:-83.063,grav:11.000:0.367:-0.258,steps:0,stab:On Table
26.6,q:-0.002:-0.717:-0.014:0.697,a:11.035:0.191:-0.344,la:0.039:-0.074:0.039,g:-0.031:0.000:0.105,m:-44.125:-63.188:-81.563,grav:11.008:0.273:-0.281,steps:0,stab:On Table
27.1,q:-0.036:-0.717:0.016:0.696,a:10.957:-1.227:-0.305,la:0.078:-0.047:0.039,g:-0.002:0.000:0.150,m:-44.125:-61.688:-82.313,grav:11.000:-1.227:-0.273,steps:0,stab:On Table
27.6,q:-0.083:-0.713:0.062:0.694,a:10.836:-2.223:-0.344,la:0.027:-0.035:-0.016,g:-0.004:0.000:0.158,m:-41.125:-57.563:-80.750,grav:10.984:-1.313:-0.273,steps:0,stab:On Table
28.2,q:-0.086:-0.713:0.065:0.693,a:10.879:-2.297:-0.305,la:0.035:0.000:0.039,g:0.000:0.000:0.127,m:-38.875:-56.438:-80.313,grav:10.680:-3.016:-0.336,steps:0,stab:On Table
28.7,q:-0.130:-0.706:0.107:0.688,a:10.730:-2.988:-0.305,la:-0.020:0.023:0.016,g:0.004:-0.008:0.127,m:-35.500:-57.188:-79.188,grav:10.758:-2.594:-0.305,steps:0,stab:On Table
29.2,q:-0.133:-0.706:0.110:0.687,a:10.414:-3.676:-0.344,la:-0.035:0.059:-0.023,g:0.010:-0.008:0.137,m:-30.625:-52.375:-78.813,grav:10.156:-4.430:-0.344,steps:0,stab:On Table
29.8,q:-0.163:-0.700:0.139:0.682,a:9.770:-5.055:-0.344,la:0.043:0.066:0.047,g:0.002:-0.004:0.145,m:-31.375:-52.000:-78.438,grav:9.852:-5.063:-0.344,steps:0,stab:On Table
30.7,q:-0.181:-0.695:0.157:0.678,a:9.078:-6.281:-0.344,la:-0.059:0.039:0.000,g:0.000:-0.006:0.156,m:-28.750:-50.125:-77.688,grav:9.164:-6.141:-0.328,steps:0,stab:On Table
31.2,q:-0.250:-0.674:0.225:0.658,a:8.543:-6.895:-0.305,la:-0.043:0.066:0.016,g:0.000:-0.004:0.152,m:-20.188:-46.750:-76.875,grav:9.102:-6.227:-0.336,steps:0,stab:On Table
31.8,q:-0.253:-0.673:0.227:0.657,a:8.461:-6.895:-0.344,la:-0.020:0.082:0.008,g:0.004:-0.006:0.146,m:-16.063:-43.375:-74.188,grav:8.008:-7.461:-0.367,steps:0,stab:On Table
32.3,q:-0.296:-0.655:0.271:0.640,a:7.969:-7.508:-0.383,la:0.039:0.031:-0.023,g:-0.002:0.000:0.141,m:-15.688:-46.000:-76.875,grav:7.945:-7.516:-0.359,steps:0,stab:On Table
32.8,q:-0.297:-0.655:0.272:0.639,a:7.355:-7.973:-0.344,la:0.008:0.055:0.000,g:-0.002:-0.008:0.148,m:-9.313:-44.875:-75.375,grav:7.484:-7.898:-0.367,steps:0,stab:On Table
33.4,q:-0.323:-0.643:0.297:0.628,a:6.781:-8.461:-0.383,la:-0.047:0.059:0.000,g:-0.010:0.000:0.146,m:-9.313:-44.875:-75.375,grav:6.742:-8.469:-0.383,steps:0,stab:On Table
33.9,q:-0.345:-0.632:0.319:0.616,a:6.090:-8.813:-0.344,la:0.004:0.055:0.039,g:-0.002:-0.004:0.156,m:-3.313:-45.625:-76.875,grav:6.039:-8.883:-0.383,steps:0,stab:On Table
34.4,q:-0.370:-0.618:0.344:0.603,a:5.363:-9.195:-0.383,la:0.035:0.047:0.000,g:-0.002:0.002:0.150,m:-3.688:-44.500:-74.938,grav:4.703:-9.500:-0.383,steps:0,stab:On Table
34.9,q:-0.390:-0.605:0.365:0.590,a:4.598:-9.461:-0.383,la:0.039:0.051:0.016,g:0.000:0.002:0.158,m:-1.438:-44.875:-74.188,grav:4.633:-9.523:-0.391,steps:0,stab:On Table
35.5,q:-0.413:-0.591:0.388:0.575,a:3.219:-9.887:-0.422,la:0.031:0.113:-0.023,g:0.002:-0.008:0.143,m:2.938:-47.500:-74.938,grav:3.195:-9.914:-0.406,steps:0,stab:On Table
36.0,q:-0.453:-0.561:0.427:0.546,a:2.414:-10.000:-0.383,la:0.059:0.070:0.023,g:0.002:0.002:0.154,m:7.813:-46.750:-74.938,grav:3.133:-9.922:-0.406,steps:0,stab:On Table
36.5,q:-0.454:-0.560:0.429:0.544,a:2.375:-10.035:-0.383,la:0.023:0.012:0.031,g:0.002:-0.008:0.154,m:10.063:-47.125:-74.938,grav:1.633:-10.094:-0.414,steps:0,stab:On Table
