timestamp,data
75.4,q:-0.678:-0.262:0.644:0.239,a:-6.512:-5.977:-0.461,la:-0.074:-0.023:0.008,g:0.002:0.004:-0.143,m:29.875:-82.250:-82.313,grav:-6.500:-5.953:-0.469,steps:0,stab:On Table
75.9,q:-0.655:-0.314:0.623:0.291,a:-6.016:-6.586:-0.496,la:0.078:-0.105:-0.035,g:0.004:0.004:-0.152,m:28.375:-81.500:-83.063,grav:-6.125:-6.461:-0.461,steps:0,stab:On Table
76.5,q:-0.654:-0.316:0.621:0.294,a:-4.941:-7.660:-0.461,la:0.059:-0.066:0.016,g:0.000:0.000:-0.145,m:27.625:-74.438:-81.125,grav:-5.508:-7.117:-0.469,steps:0,stab:On Table
77.0,q:-0.638:-0.346:0.607:0.323,a:-4.406:-8.121:-0.461,la:-0.012:-0.051:0.000,g:0.004:0.004:-0.150,m:27.250:-72.563:-79.188,grav:-4.391:-8.070:-0.461,steps:0,stab:On Table
77.5,q:-0.609:-0.394:0.579:0.373,a:-4.328:-8.160:-0.461,la:-0.020:-0.043:0.008,g:0.002:0.002:-0.141,m:27.625:-71.063:-81.938,grav:-4.336:-8.109:-0.461,steps:0,stab:On Table
78.0,q:-0.607:-0.396:0.577:0.375,a:-3.641:-8.621:-0.461,la:0.070:-0.078:0.008,g:-0.002:0.000:-0.146,m:26.938:-64.313:-79.250,grav:-3.664:-8.563:-0.461,steps:0,stab:On Table
78.6,q:-0.589:-0.422:0.560:0.401,a:-3.066:-8.965:-0.461,la:-0.074:-0.027:-0.008,g:0.002:0.004:-0.143,m:26.938:-62.438:-80.000,grav:-3.016:-8.922:-0.453,steps:0,stab:On Table
79.1,q:-0.573:-0.443:0.544:0.423,a:-1.648:-9.539:-0.461,la:0.000:-0.039:-0.016,g:0.000:-0.002:-0.146,m:23.938:-58.313:-80.375,grav:-2.305:-9.258:-0.453,steps:0,stab:On Table
79.6,q:-0.553:-0.467:0.526:0.447,a:-0.883:-9.770:-0.422,la:-0.008:-0.055:-0.016,g:0.000:0.002:-0.148,m:20.938:-56.813:-77.250,grav:-0.891:-9.711:-0.438,steps:0,stab:On Table
80.2,q:-0.516:-0.506:0.490:0.487,a:-0.078:-9.926:-0.422,la:-0.027:-0.055:-0.023,g:-0.002:-0.004:-0.145,m:21.688:-56.813:-78.438,grav:-0.828:-9.727:-0.438,steps:0,stab:On Table
80.7,q:-0.514:-0.508:0.488:0.489,a:-0.078:-9.926:-0.422,la:-0.031:-0.047:0.016,g:0.002:0.010:-0.150,m:17.938:-52.375:-78.438,grav:0.641:-9.953:-0.430,steps:0,stab:On Table
81.2,q:-0.476:-0.543:0.450:0.525,a:0.727:-10.000:-0.422,la:-0.020:-0.051:-0.031,g:0.000:0.004:-0.152,m:14.938:-50.125:-77.688,grav:0.703:-9.961:-0.430,steps:0,stab:On Table
81.7,q:-0.474:-0.545:0.448:0.527,a:2.223:-10.000:-0.422,la:-0.012:-0.051:0.008,g:0.002:0.010:-0.156,m:11.938:-46.375:-74.563,grav:1.516:-9.992:-0.430,steps:0,stab:On Table
82.3,q:-0.451:-0.563:0.426:0.546,a:2.988:-9.926:-0.461,la:-0.027:-0.055:0.039,g:0.004:0.000:-0.154,m:11.563:-47.125:-76.875,grav:2.992:-9.859:-0.414,steps:0,stab:On Table
82.8,q:-0.410:-0.593:0.385:0.576,a:3.754:-9.727:-0.383,la:-0.035:0.004:0.016,g:-0.002:0.008:-0.158,m:4.813:-45.250:-76.125,grav:3.063:-9.844:-0.422,steps:0,stab:On Table
83.3,q:-0.408:-0.594:0.383:0.578,a:3.793:-9.727:-0.383,la:-0.020:-0.051:0.016,g:0.004:-0.004:-0.141,m:4.813:-45.625:-76.500,grav:4.500:-9.477:-0.383,steps:0,stab:On Table
83.9,q:-0.364:-0.621:0.340:0.605,a:4.598:-9.500:-0.461,la:-0.012:-0.055:-0.078,g:-0.006:0.006:-0.152,m:1.813:-44.500:-73.813,grav:4.578:-9.453:-0.383,steps:0,stab:On Table
84.4,q:-0.362:-0.622:0.338:0.606,a:5.285:-9.195:-0.383,la:-0.012:-0.023:-0.008,g:0.008:0.000:-0.143,m:-5.563:-44.125:-72.250,grav:5.336:-9.156:-0.375,steps:0,stab:On Table
84.9,q:-0.318:-0.645:0.294:0.630,a:6.629:-8.465:-0.383,la:0.012:-0.082:-0.008,g:-0.004:0.012:-0.156,m:-5.563:-41.500:-73.813,grav:6.008:-8.820:-0.375,steps:0,stab:On Table
85.8,q:-0.316:-0.646:0.292:0.631,a:6.664:-8.461:-0.344,la:-0.051:-0.043:-0.008,g:0.004:-0.004:-0.150,m:-9.688:-44.500:-72.250,grav:6.711:-8.398:-0.375,steps:0,stab:On Table
86.4,q:-0.252:-0.672:0.229:0.657,a:7.777:-7.625:-0.383,la:-0.016:-0.063:0.008,g:0.002:0.000:-0.160,m:-15.313:-44.500:-75.375,grav:7.773:-7.586:-0.352,steps:0,stab:On Table
86.9,q:-0.250:-0.673:0.226:0.658,a:8.313:-7.086:-0.305,la:-0.078:-0.039:0.008,g:-0.004:0.008:-0.162,m:-18.688:-46.750:-76.500,grav:8.797:-6.531:-0.336,steps:0,stab:On Table
87.4,q:-0.227:-0.680:0.204:0.666,a:8.848:-6.512:-0.344,la:-0.043:-0.063:-0.016,g:0.002:0.000:-0.150,m:-22.438:-45.250:-74.563,grav:8.844:-6.477:-0.336,steps:0,stab:On Table
87.9,q:-0.201:-0.688:0.179:0.674,a:9.688:-5.250:-0.305,la:-0.004:-0.047:-0.016,g:-0.004:0.006:-0.156,m:-26.875:-47.875:-73.813,grav:9.695:-5.258:-0.320,steps:0,stab:On Table
88.5,q:-0.155:-0.700:0.134:0.685,a:9.730:-5.211:-0.344,la:-0.012:-0.039:-0.023,g:-0.008:0.006:-0.158,m:-27.625:-50.125:-76.875,grav:9.727:-5.195:-0.320,steps:0,stab:On Table
89.0,q:-0.153:-0.700:0.131:0.685,a:10.074:-4.559:-0.344,la:-0.027:-0.059:-0.031,g:-0.002:0.006:-0.158,m:-31.375:-52.375:-75.750,grav:10.117:-4.453:-0.313,steps:0,stab:On Table
89.5,q:-0.105:-0.708:0.085:0.693,a:10.652:-3.102:-0.344,la:0.004:-0.012:0.000,g:0.002:0.004:-0.156,m:-33.250:-50.875:-78.063,grav:10.641:-3.070:-0.305,steps:0,stab:On Table
90.0,q:-0.103:-0.709:0.082:0.693,a:10.836:-2.336:-0.305,la:-0.027:-0.047:0.027,g:-0.004:0.006:-0.162,m:-38.500:-56.813:-80.000,grav:10.672:-2.992:-0.305,steps:0,stab:On Table
90.6,q:-0.076:-0.712:0.057:0.696,a:10.836:-2.297:-0.270,la:-0.004:-0.039:0.027,g:0.002:0.000:-0.146,m:-39.250:-56.438:-78.063,grav:10.961:-1.547:-0.297,steps:0,stab:On Table
91.1,q:-0.028:-0.715:0.010:0.699,a:10.918:-1.570:-0.305,la:-0.027:-0.023:0.020,g:0.000:0.004:-0.158,m:-43.000:-60.938:-80.000,grav:10.961:-1.461:-0.289,steps:0,stab:On Table
91.6,q:-0.026:-0.715:0.008:0.699,a:11.035:0.000:-0.305,la:0.000:-0.063:-0.023,g:0.006:0.002:-0.143,m:-45.625:-62.438:-80.000,grav:11.031:0.008:-0.281,steps:0,stab:On Table
92.2,q:0.023:-0.715:-0.039:0.698,a:10.836:0.883:-0.270,la:-0.035:-0.031:0.020,g:-0.004:0.008:-0.158,m:-45.625:-68.438:-82.688,grav:11.023:0.086:-0.289,steps:0,stab:On Table
92.7,q:0.026:-0.715:-0.042:0.698,a:10.840:1.570:-0.305,la:-0.043:-0.063:-0.023,g:-0.002:0.006:-0.145,m:-49.375:-72.188:-80.000,grav:10.953:0.914:-0.273,steps:0,stab:On Table
93.2,q:0.052:-0.713:-0.067:0.696,a:10.836:1.570:-0.270,la:0.012:-0.094:0.012,g:0.000:0.000:-0.156,m:-48.625:-72.188:-81.188,grav:10.836:1.633:-0.281,steps:0,stab:On Table
93.7,q:0.077:-0.711:-0.090:0.693,a:10.613:2.453:-0.270,la:-0.031:-0.070:0.012,g:-0.002:0.002:-0.150,m:-50.875:-77.438:-84.688,grav:10.625:2.445:-0.273,steps:0,stab:On Table
94.3,q:0.104:-0.708:-0.115:0.689,a:10.035:3.793:-0.270,la:-0.039:-0.047:0.004,g:-0.004:0.006:-0.156,m:-49.750:-78.188:-83.500,grav:10.086:3.852:-0.266,steps:0,stab:On Table
94.8,q:0.128:-0.703:-0.139:0.685,a:10.035:3.867:-0.305,la:-0.027:-0.074:0.004,g:-0.004:0.004:-0.154,m:-52.000:-81.875:-85.438,grav:10.047:3.922:-0.266,steps:0,stab:On Table
95.3,q:0.156:-0.698:-0.165:0.679,a:9.652:4.598:-0.270,la:-0.027:-0.020:-0.004,g:0.008:0.002:-0.154,m:-50.500:-86.750:-85.438,grav:9.289:5.234:-0.266,steps:0,stab:On Table
95.9,q:0.206:-0.685:-0.211:0.666,a:9.230:5.250:-0.270,la:0.008:-0.082:-0.004,g:0.002:0.006:-0.146,m:-52.000:-91.250:-86.938,grav:9.242:5.297:-0.266,steps:0,stab:On Table
96.8,q:0.253:-0.669:-0.255:0.651,a:8.734:5.898:-0.270,la:-0.023:-0.031:-0.004,g:-0.008:0.000:-0.162,m:-52.000:-95.000:-86.938,grav:8.727:5.969:-0.258,steps:0,stab:On Table
97.3,q:0.256:-0.668:-0.257:0.650,a:7.699:6.934:-0.305,la:-0.012:-0.043:0.004,g:-0.004:0.002:-0.154,m:-48.625:-103.250:-88.125,grav:7.773:6.953:-0.273,steps:0,stab:On Table
97.9,q:0.305:-0.648:-0.302:0.630,a:6.512:7.895:-0.305,la:-0.070:-0.039:-0.031,g:-0.004:0.002:-0.162,m:-49.750:-102.875:-88.875,grav:6.516:7.930:-0.281,steps:0,stab:On Table
98.4,q:0.307:-0.646:-0.304:0.628,a:5.785:8.316:-0.305,la:-0.012:-0.063:-0.016,g:-0.004:0.004:-0.158,m:-46.750:-112.188:-91.188,grav:6.445:7.977:-0.281,steps:0,stab:On Table
98.9,q:0.334:-0.633:-0.329:0.616,a:5.746:8.313:-0.270,la:-0.020:-0.055:0.020,g:0.004:0.012:-0.154,m:-46.750:-111.438:-88.875,grav:5.102:8.688:-0.289,steps:0,stab:On Table
99.4,q:0.358:-0.620:-0.351:0.603,a:5.094:8.656:-0.305,la:-0.039:-0.051:-0.008,g:-0.004:-0.004:-0.162,m:-44.125:-113.313:-93.125,grav:5.031:8.711:-0.289,steps:0,stab:On Table
100.0,q:0.384:-0.605:-0.374:0.588,a:3.563:9.156:-0.270,la:-0.008:-0.035:0.027,g:-0.002:0.006:-0.154,m:-41.500:-121.938:-91.563,grav:4.328:8.992:-0.297,steps:0,stab:On Table
100.5,q:0.430:-0.574:-0.416:0.559,a:2.758:9.348:-0.305,la:-0.008:-0.039:-0.008,g:0.004:0.004:-0.150,m:-41.500:-121.938:-91.563,grav:3.523:9.234:-0.297,steps:0,stab:On Table
101.0,q:0.432:-0.573:-0.418:0.557,a:2.719:9.348:-0.305,la:-0.039:-0.051:0.000,g:0.000:0.008:-0.148,m:-37.750:-124.938:-93.188,grav:2.711:9.398:-0.305,steps:0,stab:On Table
101.6,q:0.457:-0.554:-0.440:0.539,a:1.914:9.422:-0.305,la:-0.008:-0.063:0.016,g:-0.002:-0.016:0.025,m:-36.625:-126.063:-93.875,grav:1.953:9.484:-0.320,steps:0,stab:On Table
102.1,q:0.466:-0.547:-0.446:0.534,a:1.684:9.461:-0.344,la:-0.035:0.070:0.016,g:-0.004:-0.016:0.037,m:-34.000:-126.438:-95.063,grav:1.586:9.500:-0.305,steps:0,stab:On Table
102.6,q:0.463:-0.549:-0.445:0.535,a:1.723:9.426:-0.305,la:-0.020:0.023:0.008,g:-0.002:-0.016:0.063,m:-35.125:-126.813:-94.688,grav:1.789:9.430:-0.320,steps:0,stab:On Table
103.1,q:0.460:-0.552:-0.443:0.536,a:1.723:9.426:-0.305,la:0.027:0.008:0.016,g:-0.002:-0.016:0.051,m:-36.250:-125.688:-95.063,grav:1.727:9.469:-0.305,steps:0,stab:On Table
103.7,q:0.464:-0.548:-0.445:0.535,a:1.684:9.465:-0.305,la:0.004:0.000:0.016,g:-0.002:0.014:-0.035,m:-35.125:-126.063:-94.313,grav:1.758:9.461:-0.313,steps:0,stab:On Table
104.2,q:0.464:-0.549:-0.445:0.534,a:1.801:9.426:-0.344,la:-0.070:0.000:0.016,g:0.000:0.002:0.012,m:-35.125:-126.813:-94.313,grav:1.773:9.453:-0.328,steps:0,stab:On Table
104.7,q:0.464:-0.549:-0.445:0.535,a:1.648:9.504:-0.305,la:-0.031:0.039:0.016,g:0.000:-0.004:0.021,m:-35.500:-124.938:-92.375,grav:1.773:9.445:-0.313,steps:0,stab:On Table
105.3,q:0.463:-0.549:-0.445:0.535,a:1.684:9.461:-0.344,la:0.004:-0.016:-0.031,g:0.000:-0.010:0.027,m:-34.000:-127.563:-95.438,grav:1.766:9.438:-0.313,steps:0,stab:On Table
