host_epoch,pico_epoch,temp,set_c,drive
1748041137.426,9.0,30.18,32.0,-0.2
1748041142.433,14.0,28.68,32.0,-0.2
1748041147.439,19.0,28.75,32.0,-0.2
1748041152.444,24.0,28.9,32.0,-0.2
1748041157.448,29.0,29.88,32.0,-0.2
1748041162.450,34.0,28.9,32.0,-0.2
1748041167.456,39.0,28.83,32.0,-0.2
1748041172.463,44.0,29.08,32.0,-0.2
1748041177.469,49.0,30.28,32.0,-0.2
1748041182.476,54.0,29.2,32.0,-0.2
1748041187.482,59.0,29.27,32.0,-0.2
1748041192.485,64.0,29.4,32.0,-0.2
1748041197.489,69.0,30.78,32.0,-0.2
1748041202.495,74.0,29.45,32.0,-0.2
1748041207.502,79.0,29.37,32.0,-0.2
1748041212.509,84.0,29.42,32.0,-0.2
1748041217.515,89.0,31.47,32.0,0.0
1748041222.517,94.0,29.83,32.0,-0.2
1748041227.524,99.0,30.0,32.0,-0.2
1748041232.530,104.0,29.9,32.0,-0.2
1748041237.537,109.0,31.57,32.0,0.0
1748041242.543,114.0,30.33,32.0,-0.2
1748041247.550,119.0,30.3,32.0,-0.2
1748041252.556,124.0,30.51,32.0,-0.2
1748041257.562,129.0,32.49,32.0,0.0
1748041262.567,134.0,31.01,32.0,0.0
1748041267.569,139.0,31.16,32.0,0.0
1748041272.573,144.0,31.14,32.0,0.0
1748041277.578,149.0,31.44,32.0,0.0
1748041282.580,154.0,31.6,32.0,0.0
1748041287.584,159.0,31.8,32.0,0.0
1748041292.590,164.0,31.93,32.0,0.0
1748041297.594,169.0,31.8,32.0,0.0
1748041302.600,174.0,31.8,32.0,0.0
1748041307.605,179.0,32.03,32.0,0.0
1748041312.607,184.0,32.29,32.0,0.0
1748041317.614,189.0,32.31,32.0,0.0
1748041322.620,194.0,32.21,32.0,0.0
1748041327.627,199.0,32.44,32.0,0.0
1748041332.633,204.0,32.62,32.0,0.0
1748041337.638,209.0,32.57,32.0,0.0
1748041342.644,214.0,32.37,32.0,0.0
1748041347.649,219.0,32.42,32.0,0.0
1748041352.652,224.0,32.83,32.0,0.0
1748041357.654,229.0,32.57,32.0,0.0
1748041362.656,234.0,32.96,32.0,0.0
1748041367.661,239.0,32.8,32.0,0.0
1748041372.663,244.0,32.52,32.0,0.0
1748041377.670,249.0,32.8,32.0,0.0
1748041382.676,254.0,32.8,32.0,0.0
1748041387.682,259.0,32.99,32.0,0.0
1748041392.685,264.0,32.7,32.0,0.0
1748041397.691,269.0,32.91,32.0,0.0
1748041402.694,274.0,32.52,32.0,0.0
1748041407.697,279.0,32.42,32.0,0.0
1748041412.703,284.0,32.62,32.0,0.0
1748041417.710,289.0,32.65,32.0,0.0
1748041422.712,294.0,32.68,32.0,0.0
1748041427.719,299.0,32.65,32.0,0.0
1748041432.725,304.0,32.7,32.0,0.0
1748041437.732,309.0,32.57,32.0,0.0
1748041442.738,314.0,32.75,32.0,0.0
1748041447.744,319.0,32.73,32.0,0.0
1748041452.746,324.0,32.55,32.0,0.0
1748041457.753,330.0,32.31,32.0,0.0
1748041462.759,335.0,32.42,32.0,0.0
1748041467.766,340.0,32.6,32.0,0.0
1748041472.768,345.0,32.52,32.0,0.0
1748041477.776,350.0,32.34,32.0,0.0
1748041482.784,355.0,32.57,32.0,0.0
1748041487.787,360.0,32.47,32.0,0.0
1748041492.793,365.0,32.65,32.0,0.0
1748041497.796,370.0,32.55,32.0,0.0
1748041502.801,375.0,32.42,32.0,0.0
1748041507.808,380.0,32.37,32.0,0.0
1748041512.811,385.0,32.44,32.0,0.0
1748041517.816,390.0,32.52,32.0,0.0
1748041522.818,395.0,32.62,32.0,0.0
1748041527.825,400.0,32.57,32.0,0.0
1748041532.827,405.0,32.26,32.0,0.0
1748041537.834,410.0,32.16,32.0,0.0
1748041542.839,415.0,32.44,32.0,0.0
1748041547.846,420.0,32.21,32.0,0.0
1748041552.848,425.0,32.52,32.0,0.0
1748041557.853,430.0,32.6,32.0,0.0
1748041562.858,435.0,32.49,32.0,0.0
1748041567.860,440.0,32.19,32.0,0.0
1748041572.867,445.0,32.29,32.0,0.0
1748041577.874,450.0,32.21,32.0,0.0
1748041582.880,455.0,32.31,32.0,0.0
1748041587.887,460.0,32.06,32.0,0.0
1748041592.888,465.0,31.95,32.0,0.0
1748041597.893,470.0,31.98,32.0,0.0
1748041602.901,475.0,32.06,32.0,0.0
1748041607.903,480.0,32.06,32.0,0.0
1748041612.910,485.0,31.93,32.0,0.0
1748041617.916,490.0,32.01,32.0,0.0
1748041622.923,495.0,32.21,32.0,0.0
1748041627.929,500.0,31.95,32.0,0.0
1748041632.932,505.0,32.37,32.0,0.0
1748041637.937,510.0,31.95,32.0,0.0
1748041642.942,515.0,31.88,32.0,0.0
1748041647.948,520.0,32.11,32.0,0.0
1748041652.953,525.0,31.98,32.0,0.0
1748041657.958,530.0,31.98,32.0,0.0
1748041662.961,535.0,32.13,32.0,0.0
1748041667.963,540.0,31.9,32.0,0.0
1748041672.965,545.0,32.06,32.0,0.0
1748041677.972,550.0,32.01,32.0,0.0
1748041682.978,555.0,32.11,32.0,0.0
1748041687.985,560.0,32.01,32.0,0.0
1748041692.991,565.0,31.83,32.0,0.0
1748041697.993,570.0,31.8,32.0,0.0
1748041702.999,575.0,31.95,32.0,0.0
1748041708.004,580.0,31.88,32.0,0.0
1748041713.010,585.0,31.67,32.0,0.0
1748041718.016,590.0,31.75,32.0,0.0
1748041723.021,595.0,31.93,32.0,0.0
1748041728.029,600.0,31.95,32.0,0.0
1748041733.035,605.0,31.67,32.0,0.0
1748041738.042,610.0,31.67,32.0,0.0
1748041743.046,615.0,31.78,32.0,0.0
1748041748.049,620.0,31.8,32.0,0.0
1748041753.054,625.0,31.67,32.0,0.0
1748041758.056,630.0,31.8,32.0,0.0
1748041763.062,635.0,31.72,32.0,0.0
1748041768.065,640.0,31.75,32.0,0.0
1748041773.072,645.0,31.44,32.0,0.0
1748041778.077,650.0,31.37,32.0,0.0
1748041783.083,655.0,31.57,32.0,0.0
1748041788.090,660.0,31.6,32.0,0.0
1748041793.093,665.0,31.42,32.0,0.0
1748041798.095,670.0,31.7,32.0,0.0
1748041803.100,675.0,31.7,32.0,0.0
1748041808.105,680.0,31.67,32.0,0.0
1748041813.111,685.0,31.78,32.0,0.0
1748041818.118,690.0,31.83,32.0,0.0
1748041823.124,695.0,31.85,32.0,0.0
1748041828.129,700.0,31.62,32.0,0.0
1748041833.136,705.0,31.52,32.0,0.0
1748041838.140,710.0,31.88,32.0,0.0
1748041843.146,715.0,31.85,32.0,0.0
1748041848.152,720.0,31.88,32.0,0.0
1748041853.154,725.0,31.72,32.0,0.0
1748041858.161,730.0,32.19,32.0,0.0
1748041863.165,735.0,31.85,32.0,0.0
1748041868.172,740.0,31.67,32.0,0.0
1748041873.183,745.0,31.88,32.0,0.0
1748041878.189,750.0,31.85,32.0,0.0
1748041883.195,755.0,31.88,32.0,0.0
1748041888.202,760.0,31.78,32.0,0.0
1748041893.205,765.0,31.75,32.0,0.0
1748041898.211,770.0,31.78,32.0,0.0
1748041903.216,775.0,31.65,32.0,0.0
1748041908.223,780.0,31.7,32.0,0.0
1748041913.229,785.0,31.85,32.0,0.0
1748041918.236,790.0,31.88,32.0,0.0
1748041923.238,795.0,31.65,32.0,0.0
1748041928.244,800.0,31.75,32.0,0.0
1748041933.250,805.0,31.6,32.0,0.0
1748041938.254,810.0,31.49,32.0,0.0
1748041943.261,815.0,31.7,32.0,0.0
1748041948.265,820.0,31.72,32.0,0.0
1748041953.272,825.0,31.72,32.0,0.0
1748041958.278,830.0,31.7,32.0,0.0
1748041963.285,835.0,31.67,32.0,0.0
1748041968.291,840.0,31.62,32.0,0.0
1748041973.297,845.0,31.52,32.0,0.0
1748041978.304,850.0,31.62,32.0,0.0
1748041983.310,855.0,31.49,32.0,0.0
1748041988.317,860.0,31.55,32.0,0.0
1748041993.321,865.0,31.6,32.0,0.0
1748041998.328,870.0,31.65,32.0,0.0
1748042003.334,875.0,31.75,32.0,0.0
1748042008.341,880.0,31.72,32.0,0.0
1748042013.347,885.0,31.47,32.0,0.0
1748042018.353,890.0,31.65,32.0,0.0
1748042023.356,895.0,31.65,32.0,0.0
